,BL,MVO Min Vol,MVO Semivariance,MVO CVaR,HRP,NCO
CASY,0.09008,0.041869581304186956,0.1999980000199998,0.06037060370603705,0.04826078681883169,0.025125811548859178
ORLY,0.19065,0.06305936940630594,0.1999980000199998,0.08036080360803607,0.059830508976730236,0.03975965269789813
TLT,0.10403,0.1999980000199998,0.0,0.20000200002000018,0.20000000000000004,0.26551551970467674
SHY,0.0,0.1999980000199998,0.0,0.20000200002000018,0.20000000000000004,0.26551551970467674
LMT,0.10406,0.10549894501054989,0.04783952160478395,0.09699096990969909,0.08098191467497977,0.07412470356904126
DE,0.04574,0.002999970000299997,0.0802291977080229,0.0,0.053526741014503464,0.0022693674265386542
MO,0.1001,0.14153858461415386,0.0,0.1138311383113831,0.06874868048824542,0.10065021937666024
GLD,0.2,0.1999980000199998,0.03355966440335596,0.20000200002000018,0.20000000000000004,0.19785211755582585
MS,0.05034,0.0,0.1999980000199998,0.0,0.01676643304752706,0.0
XOM,0.04986,0.04503954960450395,0.039669603303966954,0.04844048440484404,0.043426683050461386,0.029187088415823306
EME,0.06513,0.0,0.19870801291987078,0.0,0.028458251928720972,0.0
